composition,formation_energy,band_gap,delta_e
Ag1 Mg1,-0.254072658333335,0.0,-0.254072658333335
C1 Zr1,0.41684113625,0.0,0.41684113625
Er1 Tl1,-0.3075038175,0.0,-0.3075038175
N1 Zr1,-0.898906637671752,0.0,-0.898906637671752
Au1 C1,2.24080755125,0.0,2.24080755125
Cd1 Tm1,-0.31589482,0.0,-0.31589482
Al1 Tb1,-0.0655237223333351,0.0,-0.0655237223333351
Ca1 Tl1,-0.4522648175,0.0,-0.4522648175
Br1 Cs1,-1.92282628870792,4.487,-1.92282628870792
P1 Zr1,-1.45754382447997,0.0,-1.45754382447997
Sc1,0.0,0.0,0.0
Ba1 Se1,-2.05210906,2.106,-2.05210906
Cl1 H1,0.580881386098351,0.0,0.580881386098351
Hg1 Nd1,-0.444433914983134,0.0,-0.444433914983134
Pb1 Yb1,-0.563820975,0.0,-0.563820975
Cd1 Y1,-0.3602756425,0.0,-0.3602756425
Er1 Zn1,-0.351745515,0.0,-0.351745515
Cd1 Yb1,-0.419280825,0.0,-0.419280825
Al1 Mn1,-0.26763608189655,0.0,-0.26763608189655
Mo1 N1,0.277668577328248,0.0,0.277668577328248
Mg1 O1,-2.94594340252271,4.975,-2.94594340252271
Mn1 O1,-2.03612689904531,0.423,-2.03612689904531
Ni1 O1,-1.23937222615822,2.62,-1.23937222615822
Ho1 P1,-1.74064210614663,0.0,-1.74064210614663
Ag1 O1,-0.00377387168937737,0.0,-0.00377387168937737
Mn1 Ni1,-0.0126505568965509,0.0,-0.0126505568965509
C1 Re1,0.246177068750001,0.0,0.246177068750001
Mg1 Te1,-0.87960008125,2.458,-0.87960008125
Mn1 Pd1,-0.193653091896549,0.0,-0.193653091896549
Hg1 Pr1,-0.444480651233135,0.0,-0.444480651233135
Al1 Nd1,-0.3524127925,0.0,-0.3524127925
Hg1 Sr1,-0.503040627483134,0.0,-0.503040627483134
Mn1 Rh1,-0.184871916896551,0.0,-0.184871916896551
Fe1 O1,-1.2172480271465,0.0,-1.2172480271465
Bi1 Gd1,-0.91809511625,0.0,-0.91809511625
Ho1 S1,-2.11874794867334,0.0,-2.11874794867334
S1 Zr1,-1.48940590200668,0.0,-1.48940590200668
N1 Pd1,0.945778422328247,0.0,0.945778422328247
Sm1 Tl1,-0.380299826249999,0.0,-0.380299826249999
Br1 Tl1,-1.03649296620792,2.199,-1.03649296620792
Al1 Bi1,0.0592433175000004,0.342,0.0592433175000004
C1 Ir1,1.22474412125,0.0,1.22474412125
Cu1 Tb1,0.0908796526666649,0.0,0.0908796526666649
Hg1 Tb1,-0.120492704816469,0.0,-0.120492704816469
Pd1 Sc1,-0.9074035625,0.0,-0.9074035625
Cd1 Dy1,-0.324651363333335,0.0,-0.324651363333335
B1 P1,-0.535124044479969,1.367,-0.535124044479969
Al1 P1,-0.736775389479969,1.751,-0.736775389479969
Sb1 Tm1,-1.0684866975,0.0,-1.0684866975
C1 Pt1,1.55837404125,0.0,1.55837404125
Al1 Ru1,-0.66275832,0.0,-0.66275832
Ni1 Pt1,-0.101100919999999,0.0,-0.101100919999999
Zn1,0.0012473449999999,0.0,0.0012473449999999
Cd1 Er1,-0.32187689,0.0,-0.32187689
Er1 Te1,-1.20824427666666,0.0,-1.20824427666666
I1 Rb1,-1.55081580621416,3.455,-1.55081580621416
S1 Sc1,-2.01740862950668,0.0,-2.01740862950668
Cl1 Tl1,-1.15672801530956,2.323,-1.15672801530956
Cl1 Li1,-1.99984457780956,6.781,-1.99984457780956
As1 In1,-0.2489241325,0.366,-0.2489241325
Br1 Li1,-1.70728302370792,5.432,-1.70728302370792
I1 Li1,-1.28651402121416,4.53,-1.28651402121416
Bi1 Tb1,-0.570710039833334,0.0,-0.570710039833334
Ca1 Pd1,-0.688369275,0.0,-0.688369275
Mn1 Pt1,-0.35087287689655,0.0,-0.35087287689655
Cd1 Ce1,-0.32485156375,0.0,-0.32485156375
N1 Y1,-1.79522274517175,0.417000000000001,-1.79522274517175
Cu1 Tm1,-0.29091382,0.0,-0.29091382
Hg1 Tm1,-0.446250047483134,0.0,-0.446250047483134
Al1 Ni1,-0.669379795,0.0,-0.669379795
Mn1 V1,-0.284458031896548,0.0,-0.284458031896548
Hg1 Yb1,-0.619810917483134,0.0,-0.619810917483134
C1 Hf1,-0.947618221250002,0.0,-0.947618221250002
C1 V1,-0.392428928749998,0.0,-0.392428928749998
Cr1 Te1,0.110588228333335,0.0,0.110588228333335
I1 K1,-1.51418480871416,3.367,-1.51418480871416
Br1 K1,-1.85554338620792,3.948,-1.85554338620792
Al1 O1,-1.41558020793938,0.0,-1.41558020793938
Au1 Mg1,-0.615378534583335,0.0,-0.615378534583335
F1 Li1,-3.14987675956555,9.633,-3.14987675956555
C1 Ta1,-0.583268448750001,0.0,-0.583268448750001
Ca1 O1,-3.19367239793938,3.687,-3.19367239793938
Ge1 Te1,-0.0862824891666651,0.753,-0.0862824891666651
P1 Y1,-1.75392532197997,0.0,-1.75392532197997
O1 Pd1,0.162874952060623,0.0,0.162874952060623
C1 Ru1,0.648549316250001,0.0,0.648549316250001
Cs1 F1,-2.70095646456555,6.315,-2.70095646456555
Cr1 H1,0.0221577539079121,0.0,0.0221577539079121
Sc1 Si1,0.490499665,0.0,0.490499665
